category,bathrooms,bedrooms,has_photo,price,price_type,square_feet,state,latitude,longitude,time
housing/rent/apartment,1.0,1.0,Thumbnail,1095,Monthly,219,MD,391634.0,-766165.0,1577359234
housing/rent/apartment,1.0,1.0,Thumbnail,915,Monthly,219,CO,395816.0,-1050387.0,1577015007
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,219,MD,386210.0,-769225.0,1577015319
housing/rent/apartment,1.0,1.0,Thumbnail,865,Monthly,219,FL,278492.0,-823155.0,1577015248
housing/rent/apartment,1.0,1.0,Thumbnail,725,Monthly,219,CO,396828.0,-1048078.0,1577014995
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,219,VA,387418.0,-774684.0,1577359248
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,219,GA,337416.0,-842614.0,1577015182
housing/rent/apartment,1.0,1.0,Thumbnail,645,Monthly,219,FL,280076.0,-824792.0,1577359235
housing/rent/apartment,1.0,1.0,Thumbnail,595,Monthly,219,Otros,351038.0,-1066110.0,1577359326
housing/rent/apartment,1.0,0.0,Thumbnail,1195,Monthly,223,WA,476160.0,-1223275.0,1577359975
housing/rent/apartment,1.0,0.0,Thumbnail,1150,Monthly,225,WA,476160.0,-1223275.0,1577360412
housing/rent/apartment,1.0,1.0,Thumbnail,942,Monthly,225,IL,418625.0,-876825.0,1577359301
housing/rent/apartment,1.0,0.0,Thumbnail,1250,Monthly,228,WA,476160.0,-1223275.0,1577360296
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,230,NC,352240.0,-811809.0,1576666501
housing/rent/apartment,1.0,1.0,Thumbnail,685,Monthly,230,FL,277011.0,-823178.0,1577015249
housing/rent/apartment,1.0,1.0,Thumbnail,525,Monthly,230,TN,351211.0,-899517.0,1577359551
housing/rent/apartment,1.0,0.0,Thumbnail,1095,Monthly,231,WA,476160.0,-1223275.0,1577360334
housing/rent/apartment,1.0,0.0,Thumbnail,1695,Monthly,232,CA,377599.0,-1224379.0,1577358464
housing/rent/apartment,1.0,0.0,Thumbnail,990,Monthly,239,Otros,389118.0,-770132.0,1577359411
housing/rent/apartment,1.0,1.0,Thumbnail,775,Monthly,240,WA,487871.0,-1224437.0,1577360135
housing/rent/apartment,1.0,0.0,Thumbnail,1299,Monthly,243,WA,476160.0,-1223275.0,1577359586
housing/rent/apartment,1.0,1.0,Thumbnail,705,Monthly,245,Otros,611723.0,-1498414.0,1577359000
housing/rent/apartment,1.0,1.0,Thumbnail,1800,Monthly,250,CA,376019.0,-1224863.0,1577015133
housing/rent/apartment,1.0,1.0,Thumbnail,1600,Monthly,250,CA,339855.0,-1184532.0,1576322048
housing/rent/apartment,1.0,1.0,Thumbnail,1500,Monthly,250,CA,377599.0,-1224379.0,1577359213
housing/rent/apartment,1.0,1.0,Thumbnail,1330,Monthly,250,CA,341450.0,-1183898.0,1577015755
housing/rent/apartment,1.0,1.0,Thumbnail,1310,Monthly,250,CA,342805.0,-1188861.0,1577359152
housing/rent/apartment,1.0,1.0,Thumbnail,1300,Monthly,250,CA,338363.0,-1183330.0,1577015787
housing/rent/apartment,1.0,1.0,Thumbnail,1295,Monthly,250,CA,385587.0,-1214320.0,1577014892
housing/rent/apartment,1.0,1.0,Thumbnail,1255,Monthly,250,CA,342017.0,-1184920.0,1576322123
housing/rent/apartment,1.0,1.0,Thumbnail,1250,Monthly,250,WA,476160.0,-1223275.0,1577015295
housing/rent/apartment,1.0,1.0,Thumbnail,1250,Monthly,250,CA,341881.0,-1183905.0,1575976767
housing/rent/apartment,1.0,1.0,Thumbnail,1200,Monthly,250,CO,397360.0,-1049819.0,1577015008
housing/rent/apartment,1.0,1.0,Thumbnail,1200,Monthly,250,CO,396828.0,-1048078.0,1577015098
housing/rent/apartment,1.0,1.0,Thumbnail,1175,Monthly,250,CA,379353.0,-1216935.0,1577359008
housing/rent/apartment,1.0,1.0,Thumbnail,1155,Monthly,250,CA,379917.0,-1225247.0,1577015122
housing/rent/apartment,1.0,1.0,Thumbnail,1150,Monthly,250,MD,391088.0,-772384.0,1577015215
housing/rent/apartment,1.0,1.0,Thumbnail,1145,Monthly,250,MA,426484.0,-711615.0,1577359272
housing/rent/apartment,1.0,1.0,Thumbnail,1135,Monthly,250,CA,377904.0,-1222151.0,1577359210
housing/rent/apartment,1.0,1.0,Thumbnail,1115,Monthly,250,CA,379724.0,-1223304.0,1577359208
housing/rent/apartment,1.0,0.0,Thumbnail,1095,Monthly,250,IL,418625.0,-876825.0,1577016975
housing/rent/apartment,1.0,1.0,Thumbnail,1090,Monthly,250,VA,387999.0,-771072.0,1577359248
housing/rent/apartment,1.0,1.0,Thumbnail,1075,Monthly,250,IL,418625.0,-876825.0,1577015605
housing/rent/apartment,1.0,1.0,Thumbnail,1050,Monthly,250,CA,342009.0,-1188636.0,1577359156
housing/rent/apartment,1.0,1.0,Thumbnail,1050,Monthly,250,CO,397360.0,-1049819.0,1577359188
housing/rent/apartment,1.0,1.0,Thumbnail,1045,Monthly,250,VA,387860.0,-772858.0,1577015325
housing/rent/apartment,1.0,1.0,Thumbnail,1025,Monthly,250,WA,475988.0,-1221507.0,1577359245
housing/rent/apartment,1.0,1.0,Thumbnail,1005,Monthly,250,CA,383918.0,-1212234.0,1577014891
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,250,CA,341677.0,-1186141.0,1577359157
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,250,FL,257603.0,-803005.0,1577359231
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,250,MD,389633.0,-769375.0,1577359233
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,250,CO,398644.0,-1050454.0,1577015098
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,250,CO,396828.0,-1048078.0,1577015002
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,250,CO,398228.0,-1051107.0,1577015097
housing/rent/apartment,1.0,1.0,Thumbnail,1000,Monthly,250,CA,337606.0,-1180806.0,1576666443
housing/rent/apartment,1.0,1.0,Thumbnail,975,Monthly,250,CA,331463.0,-1171694.0,1577359240
housing/rent/apartment,1.0,1.0,Thumbnail,965,Monthly,250,NJ,398587.0,-748101.0,1577015665
housing/rent/apartment,1.0,1.0,Thumbnail,955,Monthly,250,MD,391634.0,-766165.0,1577359262
housing/rent/apartment,1.0,1.0,Thumbnail,950,Monthly,250,CO,395816.0,-1050387.0,1577015096
housing/rent/apartment,1.0,1.0,Thumbnail,950,Monthly,250,CO,396828.0,-1048078.0,1577015098
housing/rent/apartment,1.0,1.0,Thumbnail,930,Monthly,250,CA,379682.0,-1220091.0,1577015146
housing/rent/apartment,1.0,1.0,Thumbnail,925,Monthly,250,CO,399999.0,-1050993.0,1577358925
housing/rent/apartment,1.0,1.0,Thumbnail,925,Monthly,250,CA,326197.0,-1170226.0,1577015266
housing/rent/apartment,1.0,1.0,Thumbnail,925,Monthly,250,MD,391634.0,-766165.0,1577015099
housing/rent/apartment,1.0,1.0,Thumbnail,915,Monthly,250,CO,395516.0,-1049690.0,1577358488
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,250,MD,390976.0,-768614.0,1577359251
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,250,FL,285163.0,-813644.0,1577359122
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,250,CO,400213.0,-1052552.0,1577358924
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,250,CO,396828.0,-1048078.0,1577015097
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,250,CA,340291.0,-1179457.0,1576666494
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,250,CA,338323.0,-1179079.0,1575976769
housing/rent/apartment,1.0,1.0,Thumbnail,895,Monthly,250,CO,398312.0,-1048942.0,1577015009
housing/rent/apartment,1.0,1.0,Thumbnail,895,Monthly,250,CO,398228.0,-1051107.0,1577015097
housing/rent/apartment,1.0,1.0,Thumbnail,875,Monthly,250,VA,388738.0,-771055.0,1577015322
housing/rent/apartment,1.0,1.0,Thumbnail,865,Monthly,250,FL,261806.0,-817257.0,1577358931
housing/rent/apartment,1.0,1.0,Thumbnail,865,Monthly,250,GA,337848.0,-843922.0,1577359222
housing/rent/apartment,1.0,1.0,Thumbnail,860,Monthly,250,FL,273181.0,-824987.0,1577359138
housing/rent/apartment,1.0,1.0,Thumbnail,855,Monthly,250,CO,396828.0,-1048078.0,1577359190
housing/rent/apartment,1.0,1.0,Thumbnail,850,Monthly,250,VA,386900.0,-772065.0,1577359251
housing/rent/apartment,1.0,1.0,Thumbnail,850,Monthly,250,CO,400994.0,-1048079.0,1577358918
housing/rent/apartment,1.0,1.0,Thumbnail,850,Monthly,250,VA,386487.0,-773152.0,1577359250
housing/rent/apartment,1.0,1.0,Thumbnail,850,Monthly,250,TN,361370.0,-867830.0,1577359107
housing/rent/apartment,1.0,1.0,Thumbnail,850,Monthly,250,FL,277873.0,-826772.0,1577015259
housing/rent/apartment,1.0,1.0,Thumbnail,850,Monthly,250,OR,455091.0,-1226449.0,1577014971
housing/rent/apartment,1.0,1.0,Thumbnail,825,Monthly,250,MD,394324.0,-763552.0,1577015366
housing/rent/apartment,1.0,1.0,Thumbnail,805,Monthly,250,GA,337848.0,-843922.0,1577359229
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,250,CO,399156.0,-1050876.0,1577358924
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,250,CO,396169.0,-1049190.0,1577359189
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,250,MD,390287.0,-772409.0,1577359232
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,250,FL,289050.0,-812156.0,1577359129
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,250,CA,381255.0,-1212878.0,1577359136
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,250,FL,302989.0,-816324.0,1577014825
housing/rent/apartment,1.0,1.0,Thumbnail,795,Monthly,250,CO,394904.0,-1047265.0,1577359188
housing/rent/apartment,1.0,1.0,Thumbnail,785,Monthly,250,CO,386968.0,-1046969.0,1577359135
housing/rent/apartment,1.0,1.0,Thumbnail,785,Monthly,250,CO,405649.0,-1050824.0,1577358930
housing/rent/apartment,1.0,1.0,Thumbnail,760,Monthly,250,CO,404067.0,-1050984.0,1577358930
housing/rent/apartment,1.0,1.0,Thumbnail,755,Monthly,250,FL,287026.0,-813885.0,1577359122
housing/rent/apartment,1.0,1.0,Thumbnail,755,Monthly,250,Otros,396103.0,-756896.0,1577358946
housing/rent/apartment,1.0,1.0,Thumbnail,755,Monthly,250,PA,402776.0,-767088.0,1577358630
housing/rent/apartment,1.0,1.0,Thumbnail,750,Monthly,250,CA,339450.0,-1174074.0,1577359206
housing/rent/apartment,1.0,1.0,Thumbnail,750,Monthly,250,FL,272897.0,-803421.0,1577359020
housing/rent/apartment,1.0,1.0,Thumbnail,750,Monthly,250,MD,391774.0,-772569.0,1577359252
housing/rent/apartment,1.0,1.0,Thumbnail,750,Monthly,250,NC,352016.0,-808124.0,1576666455
housing/rent/apartment,1.0,1.0,Thumbnail,725,Monthly,250,TN,361370.0,-867830.0,1577359105
housing/rent/apartment,1.0,1.0,Thumbnail,725,Monthly,250,GA,338691.0,-847686.0,1577015201
housing/rent/apartment,1.0,1.0,Thumbnail,720,Monthly,250,TX,294782.0,-982759.0,1577359126
housing/rent/apartment,1.0,1.0,Thumbnail,705,Monthly,250,TX,297714.0,-954343.0,1577359260
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,AZ,334234.0,-1115415.0,1577359294
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,TX,303054.0,-977497.0,1577359117
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,CO,399156.0,-1050876.0,1577358923
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,AZ,335783.0,-1118902.0,1577359295
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,FL,285163.0,-813644.0,1577359121
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,MD,393191.0,-766126.0,1577015367
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,CO,396041.0,-1048594.0,1577015096
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,CO,396894.0,-1051119.0,1577015096
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,250,TX,300066.0,-978071.0,1577015019
housing/rent/apartment,1.0,0.0,Thumbnail,695,Monthly,250,IA,425286.0,-924509.0,1577358970
housing/rent/apartment,1.0,1.0,Thumbnail,695,Monthly,250,IL,417834.0,-878099.0,1577015589
housing/rent/apartment,1.0,1.0,Thumbnail,685,Monthly,250,Otros,340505.0,-810098.0,1577359144
housing/rent/apartment,1.0,1.0,Thumbnail,685,Monthly,250,AZ,335178.0,-1120848.0,1577015542
housing/rent/apartment,1.0,1.0,Thumbnail,675,Monthly,250,TX,297714.0,-954343.0,1577015328
housing/rent/apartment,1.0,1.0,Thumbnail,675,Monthly,250,MN,451748.0,-933109.0,1575638484
housing/rent/apartment,1.0,1.0,Thumbnail,660,Monthly,250,AZ,335178.0,-1120848.0,1577015549
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,250,MD,393191.0,-766126.0,1577359203
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,250,OR,449545.0,-1230072.0,1577359002
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,250,FL,294832.0,-828641.0,1577358919
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,250,TX,294624.0,-985253.0,1577014919
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,250,TN,360402.0,-866385.0,1577014855
housing/rent/apartment,1.0,1.0,Thumbnail,645,Monthly,250,Otros,336285.0,-789873.0,1577359007
housing/rent/apartment,1.0,1.0,Thumbnail,645,Monthly,250,NC,352016.0,-808124.0,1576666471
housing/rent/apartment,1.0,1.0,Thumbnail,625,Monthly,250,FL,270717.0,-823833.0,1577359138
housing/rent/apartment,1.0,1.0,Thumbnail,610,Monthly,250,AZ,335178.0,-1120848.0,1577015550
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,250,FL,284730.0,-825474.0,1577358940
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,250,AZ,322264.0,-1109438.0,1577359177
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,250,GA,339369.0,-843060.0,1577359225
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,250,CA,369873.0,-1220160.0,1577358918
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,250,FL,280076.0,-824792.0,1577015248
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,250,MI,471165.0,-885631.0,1577017139
housing/rent/apartment,1.0,1.0,Thumbnail,600,Monthly,250,NC,358230.0,-786438.0,1577015762
housing/rent/apartment,1.0,1.0,Thumbnail,595,Monthly,250,VA,376465.0,-782899.0,1577358867
housing/rent/apartment,1.0,1.0,Thumbnail,580,Monthly,250,FL,276361.0,-804261.0,1577358942
housing/rent/apartment,1.0,1.0,Thumbnail,575,Monthly,250,PA,399849.0,-758127.0,1577359007
housing/rent/apartment,1.0,1.0,Thumbnail,575,Monthly,250,FL,286810.0,-812808.0,1577014894
housing/rent/apartment,1.0,1.0,Thumbnail,550,Monthly,250,MD,392019.0,-769510.0,1577359203
housing/rent/apartment,1.0,1.0,Thumbnail,550,Monthly,250,VA,387701.0,-772263.0,1577359287
housing/rent/apartment,1.0,1.0,Thumbnail,500,Monthly,250,Otros,338829.0,-786369.0,1577359006
housing/rent/apartment,1.0,1.0,Thumbnail,500,Monthly,250,TX,295056.0,-949889.0,1577359258
housing/rent/apartment,1.0,1.0,Thumbnail,500,Monthly,250,AZ,348856.0,-1124675.0,1577358597
housing/rent/apartment,1.0,1.0,Thumbnail,499,Monthly,250,Otros,382006.0,-849469.0,1577358627
housing/rent/apartment,1.0,1.0,Thumbnail,495,Monthly,250,AZ,335178.0,-1120848.0,1577015536
housing/rent/apartment,1.0,1.0,Thumbnail,200,Monthly,250,MD,393903.0,-771487.0,1577015099
housing/rent/apartment,1.0,0.0,Thumbnail,1325,Monthly,253,WA,476160.0,-1223275.0,1577360339
housing/rent/apartment,1.0,0.0,Thumbnail,1400,Monthly,255,WA,477046.0,-1221989.0,1577360324
housing/rent/apartment,1.0,0.0,Thumbnail,1995,Monthly,258,CA,377599.0,-1224379.0,1577358513
housing/rent/apartment,1.0,1.0,Thumbnail,710,Monthly,265,WI,430724.0,-894003.0,1577358725
housing/rent/apartment,1.0,1.0,Thumbnail,1659,Monthly,272,Otros,389118.0,-770132.0,1577358754
housing/rent/apartment,1.0,1.0,Thumbnail,1600,Monthly,272,CA,377078.0,-1221435.0,1577359208
housing/rent/apartment,1.0,1.0,Thumbnail,850,Monthly,273,IN,391471.0,-865136.0,1577359051
housing/rent/apartment,1.0,0.0,Thumbnail,1900,Monthly,275,CA,336019.0,-1178637.0,1577016114
housing/rent/apartment,1.0,1.0,Thumbnail,1505,Monthly,275,CA,340372.0,-1182972.0,1576666500
housing/rent/apartment,1.0,1.0,Thumbnail,900,Monthly,275,AZ,333423.0,-1117755.0,1577015539
housing/rent/apartment,1.0,0.0,Thumbnail,892,Monthly,275,IL,418625.0,-876825.0,1577359302
housing/rent/apartment,1.0,1.0,Yes,705,Monthly,275,OH,391263.0,-845172.0,1568768104
housing/rent/apartment,1.0,1.0,Thumbnail,1240,Monthly,280,MD,388077.0,-769886.0,1577359251
housing/rent/apartment,1.0,1.0,Thumbnail,870,Monthly,285,Otros,611723.0,-1498414.0,1577360387
housing/rent/apartment,1.0,0.0,Thumbnail,1095,Monthly,286,IL,418625.0,-876825.0,1577360156
housing/rent/apartment,1.0,0.0,Thumbnail,1350,Monthly,288,WA,476160.0,-1223275.0,1577360185
housing/rent/apartment,1.0,1.0,Yes,865,Monthly,288,PA,403911.0,-801989.0,1568777542
housing/rent/apartment,1.0,1.0,Thumbnail,690,Monthly,288,FL,280076.0,-824792.0,1577015236
housing/rent/apartment,1.0,0.0,Thumbnail,1099,Monthly,290,OR,455091.0,-1226449.0,1577359880
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,290,MN,449855.0,-933023.0,1576666463
housing/rent/apartment,1.0,0.0,Thumbnail,850,Monthly,296,IA,416595.0,-915350.0,1577359840
housing/rent/apartment,1.0,0.0,Thumbnail,2200,Monthly,300,CA,374356.0,-1221340.0,1577360127
housing/rent/apartment,1.0,1.0,Yes,2112,Monthly,300,NJ,410591.0,-741452.0,1568781099
housing/rent/apartment,1.0,1.0,Yes,1868,Monthly,300,CA,341428.0,-1179996.0,1568779369
housing/rent/apartment,1.0,1.0,Yes,1785,Monthly,300,CT,417277.0,-728374.0,1568777007
housing/rent/apartment,1.0,1.0,Thumbnail,1575,Monthly,300,CA,340628.0,-1182754.0,1568758026
housing/rent/apartment,1.0,1.0,Yes,1534,Monthly,300,MD,391775.0,-771944.0,1568766195
housing/rent/apartment,1.0,1.0,Yes,1470,Monthly,300,CT,417773.0,-725249.0,1568777135
housing/rent/apartment,1.0,1.0,Yes,1470,Monthly,300,MD,391627.0,-766354.0,1568775346
housing/rent/apartment,1.0,1.0,Yes,1470,Monthly,300,MD,391723.0,-768514.0,1568774838
housing/rent/apartment,1.0,2.0,Thumbnail,1425,Monthly,300,Otros,406496.0,-739596.0,1577359277
housing/rent/apartment,1.0,1.0,Yes,1386,Monthly,300,MD,392081.0,-766610.0,1568777995
housing/rent/apartment,1.0,0.0,Thumbnail,1195,Monthly,300,WA,476160.0,-1223275.0,1577360005
housing/rent/apartment,1.0,1.0,Thumbnail,995,Monthly,300,IL,419891.0,-876572.0,1577359553
housing/rent/apartment,1.0,0.0,Thumbnail,975,Monthly,300,CA,337815.0,-1181934.0,1568777618
housing/rent/apartment,1.0,1.0,Thumbnail,911,Monthly,300,IL,418625.0,-876825.0,1577358589
housing/rent/apartment,1.0,0.0,Thumbnail,900,Monthly,300,TX,303054.0,-977497.0,1577017126
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,300,CO,405649.0,-1050824.0,1577358930
housing/rent/apartment,1.0,1.0,Thumbnail,800,Monthly,300,GA,337416.0,-842614.0,1577359226
housing/rent/apartment,1.0,1.0,Thumbnail,795,Monthly,300,CO,397360.0,-1049819.0,1577015008
housing/rent/apartment,1.0,1.0,Thumbnail,795,Monthly,300,FL,273181.0,-824987.0,1575418787
housing/rent/apartment,1.0,1.0,Thumbnail,775,Monthly,300,WI,430531.0,-879659.0,1577015786
housing/rent/apartment,1.0,0.0,Thumbnail,760,Monthly,300,IL,418625.0,-876825.0,1577359552
housing/rent/apartment,1.0,1.0,Thumbnail,750,Monthly,300,FL,282300.0,-823055.0,1577015246
housing/rent/apartment,1.0,1.0,Thumbnail,725,Monthly,300,Otros,416151.0,-711705.0,1577358646
housing/rent/apartment,1.0,1.0,Thumbnail,700,Monthly,300,GA,335571.0,-842167.0,1577359227
housing/rent/apartment,1.0,1.0,Thumbnail,650,Monthly,300,OH,399974.0,-829829.0,1577359330
housing/rent/apartment,1.0,1.0,Thumbnail,595,Monthly,300,CO,390744.0,-1085228.0,1577360203
housing/rent/apartment,1.0,1.0,Thumbnail,590,Monthly,300,IN,391471.0,-865136.0,1577359047
housing/rent/apartment,1.0,2.0,Thumbnail,590,Monthly,300,IN,391471.0,-865136.0,1577359047
housing/rent/apartment,1.0,2.0,Thumbnail,585,Monthly,300,IN,391471.0,-865136.0,1577359049
housing/rent/apartment,1.0,2.0,Thumbnail,580,Monthly,300,IL,401145.0,-882723.0,1577359060
housing/rent/apartment,1.0,1.0,Thumbnail,400,Monthly,300,NC,358230.0,-786438.0,1576322125
housing/rent/apartment,1.0,2.0,Thumbnail,275,Monthly|Weekly,300,FL,280451.0,-819689.0,1574891000
housing/rent/apartment,1.0,1.0,Thumbnail,1195,Monthly,301,NV,395197.0,-1198342.0,1577358435
housing/rent/apartment,1.0,1.0,Thumbnail,1094,Monthly,306,NV,395197.0,-1198342.0,1577358436
housing/rent/apartment,1.0,0.0,Thumbnail,725,Monthly,308,IN,404969.0,-869659.0,1577358856
housing/rent/apartment,1.0,0.0,Thumbnail,1099,Monthly,309,OR,455091.0,-1226449.0,1577360408
housing/rent/apartment,1.0,2.0,Thumbnail,1222,Monthly,310,MA,426398.0,-713184.0,1577358523
housing/rent/apartment,1.0,0.0,Thumbnail,2195,Monthly,313,CA,377599.0,-1224379.0,1577358518
housing/rent/apartment,1.0,1.0,Thumbnail,760,Monthly,313,IN,397953.0,-861387.0,1577015158
housing/rent/apartment,1.0,2.0,Thumbnail,650,Monthly,314,Otros,412321.0,-1119813.0,1577359130
housing/rent/apartment,1.0,0.0,Thumbnail,2695,Monthly,315,CA,377599.0,-1224379.0,1577359148
housing/rent/apartment,1.0,2.0,Thumbnail,730,Monthly,315,Otros,611723.0,-1498414.0,1577358613
housing/rent/apartment,1.0,0.0,Thumbnail,659,Monthly,315,Otros,380172.0,-844931.0,1577360268
housing/rent/apartment,1.0,1.0,Thumbnail,775,Monthly,317,IN,403613.0,-869005.0,1577358839
housing/rent/apartment,1.0,0.0,Thumbnail,1350,Monthly,318,MD,389799.0,-770798.0,1577017003
housing/rent/apartment,1.0,1.0,Thumbnail,1100,Monthly,319,IL,418625.0,-876825.0,1577015588
housing/rent/apartment,1.0,1.0,Thumbnail,965,Monthly,320,IL,418625.0,-876825.0,1577015533
housing/rent/apartment,1.0,0.0,Thumbnail,675,Monthly,320,OH,414648.0,-816794.0,1577014873
housing/rent/apartment,1.0,1.0,Thumbnail,925,Monthly,321,CO,396894.0,-1051119.0,1577015009
housing/rent/apartment,1.0,1.0,Thumbnail,845,Monthly,322,WI,430531.0,-879659.0,1577360013
housing/rent/apartment,1.0,2.0,Thumbnail,700,Monthly,324,WI,430724.0,-894003.0,1577358723
housing/rent/apartment,1.0,2.0,Thumbnail,2700,Monthly,325,MA,423280.0,-710710.0,1568746385
housing/rent/apartment,1.0,2.0,Thumbnail,1995,Monthly,325,CA,338517.0,-1183978.0,1577359569
housing/rent/apartment,1.0,1.0,Thumbnail,1350,Monthly,325,WA,476160.0,-1223275.0,1577360015
housing/rent/apartment,1.0,2.0,Thumbnail,1349,Monthly,325,IL,418625.0,-876825.0,1577359541
housing/rent/apartment,1.0,2.0,Thumbnail,975,Monthly,325,NV,361554.0,-1151733.0,1577359194
housing/rent/apartment,1.0,0.0,Thumbnail,925,Monthly,325,IL,418625.0,-876825.0,1577015409
housing/rent/apartment,1.0,2.0,Thumbnail,899,Monthly,325,IL,418625.0,-876825.0,1577358591
housing/rent/apartment,1.0,2.0,Thumbnail,700,Monthly,325,CT,411873.0,-731811.0,1575973668
